"names","pts","ast","reb","wins","total_games","win_pct","year"
"Odie Spears",6.81944444444444,NA,NA,37,72,0.513888888888889,1956
"Paul Arizin",24.1666666666667,NA,NA,45,72,0.625,1956
"Paul Seymour",11.2068965517241,NA,NA,29,58,0.5,1956
"Ray Felix",12.2465753424658,NA,NA,35,73,0.479452054794521,1956
"Red Rocha",9.94520547945205,NA,NA,36,73,0.493150684931507,1956
"Richard Atha",3.875,NA,NA,10,24,0.416666666666667,1956
"Richie Regan",7.84722222222222,NA,NA,31,72,0.430555555555556,1956
"Ron Feiereisel",3,NA,NA,2,10,0.2,1956
"Slater Martin",13.2876712328767,NA,NA,34,73,0.465753424657534,1956
"Togo Palazzi",5.95238095238095,NA,NA,33,63,0.523809523809524,1956
"Tom Gola",10.7794117647059,NA,NA,42,68,0.617647058823529,1956
"Vern Mikkelsen",13.3561643835616,NA,NA,34,73,0.465753424657534,1956
"Walt Davis",4.61428571428571,NA,NA,43,70,0.614285714285714,1956
"Walter Devlin",7.89855072463768,NA,NA,36,69,0.521739130434783,1956
"Walter Dukes",7.75,NA,NA,27,60,0.45,1956
"Whitey Skoog",11.5753424657534,NA,NA,34,73,0.465753424657534,1956
"Al Bianchi",8.26470588235294,NA,NA,37,68,0.544117647058823,1957
"Alex Hannum",3.18333333333333,NA,NA,30,60,0.5,1957
"Andy Phillip",4.38235294117647,NA,NA,43,68,0.632352941176471,1957
"Arnie Risen",8,NA,NA,25,43,0.581395348837209,1957
"Art Spoelstra",7.53623188405797,NA,NA,29,69,0.420289855072464,1957
"Bill Kenville",8.06944444444444,NA,NA,34,72,0.472222222222222,1957
"Bill Russell",14.7291666666667,NA,NA,28,48,0.583333333333333,1957
"Bill Sharman",21.089552238806,NA,NA,43,67,0.641791044776119,1957
"Bill Thieben",4.08474576271186,NA,NA,28,59,0.474576271186441,1957
"Bob Armstrong",1.4,NA,NA,12,20,0.6,1957
"Bob Burrow",6.02985074626866,NA,NA,27,67,0.402985074626866,1957
"Bob Cousy",20.609375,NA,NA,41,64,0.640625,1957
"Bob Harrison",8.74242424242424,NA,NA,37,66,0.560606060606061,1957
"Bob Hopkins",5.74193548387097,NA,NA,31,62,0.5,1957
"Bob Houbregs",11.1290322580645,NA,NA,32,62,0.516129032258065,1957
"Bob Leonard",11.0684931506849,NA,NA,34,73,0.465753424657534,1957
"Bob Pettit",24.4383561643836,NA,NA,35,73,0.479452054794521,1957
"Bob Schafer",5.44444444444444,NA,NA,2,9,0.222222222222222,1957
"Bob Williams",0.8,0,NA,3,5,0.6,1957
"Bobby Wanzer",3.72727272727273,NA,NA,10,22,0.454545454545455,1957
"Carl Braun",13.9166666666667,NA,NA,36,72,0.5,1957
"Charlie Share",10.2432432432432,NA,NA,36,74,0.486486486486487,1957
"Chuck Mencel",9.21917808219178,NA,NA,34,73,0.465753424657534,1957
"Chuck Noble",8.57142857142857,NA,NA,23,56,0.410714285714286,1957
"Cliff Hagan",5.97101449275362,NA,NA,32,69,0.463768115942029,1957
"Clyde Lovellette",20.8571428571429,NA,NA,32,70,0.457142857142857,1957
"Dave Piontek",8.94366197183099,NA,NA,31,71,0.436619718309859,1957
"Dick Garmaker",16.3835616438356,NA,NA,34,73,0.465753424657534,1957
"Dick Hemric",5.41791044776119,NA,NA,40,67,0.597014925373134,1957
"Dick McGuire",5.34722222222222,NA,NA,36,72,0.5,1957
"Dick Ricketts",11.1805555555556,NA,NA,31,72,0.430555555555556,1957
"Dick Rosenthal",2.58823529411765,NA,NA,8,17,0.470588235294118,1957
"Dick Schnittker",5.56338028169014,NA,NA,32,71,0.450704225352113,1957
"Dolph Schayes",22.4583333333333,NA,NA,38,72,0.527777777777778,1957
"Don Savage",3.6,NA,NA,3,5,0.6,1957
"Earl Lloyd",8.95833333333333,NA,NA,38,72,0.527777777777778,1957
"Ed Conlin",13.4225352112676,NA,NA,38,71,0.535211267605634,1957
"Ed Fleming",6.98039215686275,NA,NA,20,51,0.392156862745098,1957
"Ed Kalafat",8.48484848484848,NA,NA,32,66,0.484848484848485,1957
"Ed Macauley",16.6351351351351,NA,NA,36,74,0.486486486486487,1957
"Ernie Beck",6.95833333333333,NA,NA,37,72,0.513888888888889,1957
"Forest Able",0,1,1,1,1,1,1957
"Frank Ramsey",11.9428571428571,NA,NA,21,35,0.6,1957
"Gary Bergen",1.33333333333333,NA,NA,2,6,0.333333333333333,1957
"Gene Shue",11.0821917808219,NA,NA,34,73,0.465753424657534,1957
"George Dempsey",4.54929577464789,NA,NA,37,71,0.52112676056338,1957
"George Yardley",21.5616438356164,NA,NA,34,73,0.465753424657534,1957
"Hal Lear",1.33333333333333,0.333333333333333,0.333333333333333,1,3,0.333333333333333,1957
"Harry Gallatin",15.0555555555556,NA,NA,36,72,0.5,1957
"Irv Bemoras",5.06349206349206,NA,NA,31,63,0.492063492063492,1957
"Jack Coleman",10.3783783783784,NA,NA,36,74,0.486486486486487,1957
"Jack George",10.4925373134328,NA,NA,35,67,0.522388059701492,1957
"Jack McMahon",8.86486486486486,NA,NA,36,74,0.486486486486487,1957
"Jack Nichols",8.01612903225806,NA,NA,39,62,0.629032258064516,1957
"Jack Twyman",16.3472222222222,NA,NA,31,72,0.430555555555556,1957
"Jackie Moore",2.17543859649123,NA,NA,29,57,0.508771929824561,1957
"Jim Baechtold",4.77777777777778,NA,NA,22,45,0.488888888888889,1957
"Jim Loscutoff",10.6571428571429,NA,NA,44,70,0.628571428571429,1957
"Jim Paxson",6.30555555555556,NA,NA,34,72,0.472222222222222,1957
"Jim Ray",1.4,NA,NA,3,5,0.6,1957
"Jim Tucker",3.77777777777778,NA,NA,4,9,0.444444444444444,1957
"Joe Graboski",14.3611111111111,NA,NA,37,72,0.513888888888889,1957
"Joe Holup",7.38028169014085,NA,NA,37,71,0.52112676056338,1957
"John Barber",1.4,0,NA,4,5,0.8,1957
"Johnny Kerr",12.3888888888889,NA,NA,38,72,0.527777777777778,1957
"Johnny McCarthy",6.61111111111111,NA,NA,31,72,0.430555555555556,1957
"Ken Sears",14.8333333333333,NA,NA,36,72,0.5,1957
"Larry Costello",7.59722222222222,NA,NA,37,72,0.513888888888889,1957
"Larry Foust",12.5645161290323,NA,NA,28,62,0.451612903225806,1957
"Larry Hennessy",6.42857142857143,NA,NA,6,21,0.285714285714286,1957
"Lew Hitch",4.17647058823529,NA,NA,34,68,0.5,1957
"Lou Tsioropoulos",4.34615384615385,NA,NA,35,52,0.673076923076923,1957
"Maurice Stokes",15.6388888888889,NA,NA,31,72,0.430555555555556,1957
"Medford Park",5.29411764705882,NA,NA,34,68,0.5,1957
